,,lat.,lon.
2014/8/21,10:07:28,31.92596669,131.4832667
2014/8/21,10:07:56,31.92721669,131.4842833
2014/8/21,10:08:25,31.92808338,131.4849166
2014/8/21,10:08:57,31.92981667,131.4861334
2014/8/21,10:09:26,31.93048337,131.4875333
2014/8/21,10:09:54,31.93048337,131.4886
2014/8/21,10:10:27,31.92991666,131.4907167
2014/8/21,10:10:55,31.92926665,131.49225
2014/8/21,10:11:27,31.92853332,131.4938
2014/8/21,10:11:56,31.92781666,131.4953667
2014/8/21,10:12:24,31.92733336,131.4964
2014/8/21,10:12:56,31.92638336,131.4984833
2014/8/21,10:13:25,31.92589997,131.4995167
2014/8/21,10:13:57,31.92486665,131.5015167
2014/8/21,10:14:26,31.92403332,131.503
2014/8/21,10:14:58,31.92316663,131.5044667
2014/8/21,10:15:26,31.92231663,131.5059333
2014/8/21,10:15:55,31.92176669,131.5069167
2014/8/21,10:16:27,31.92064997,131.5088667
2014/8/21,10:16:55,31.91979996,131.5103167
2014/8/21,10:17:27,31.91898331,131.5117833
2014/8/21,10:17:56,31.91814998,131.5132166
2014/8/21,10:18:24,31.91759996,131.5141833
2014/8/21,10:18:57,31.91651668,131.5160833
2014/8/21,10:19:25,31.91598334,131.51705
2014/8/21,10:19:57,31.91493334,131.5189667
2014/8/21,10:20:25,31.91414997,131.5204
2014/8/21,10:20:58,31.91333332,131.5218
2014/8/21,10:21:26,31.91255003,131.5232167
2014/8/21,10:21:54,31.91203337,131.5241667
2014/8/21,10:22:27,31.91103333,131.5260667
2014/8/21,10:22:55,31.91023336,131.5274833
2014/8/21,10:23:28,31.90946667,131.5289
2014/8/21,10:23:56,31.90869997,131.5303333
2014/8/21,10:24:24,31.90815004,131.5312666
2014/8/21,10:24:57,31.90713331,131.53315
2014/8/21,10:25:25,31.90633334,131.53455
2014/8/21,10:25:57,31.90633334,131.53455
2014/8/21,10:26:26,31.90476668,131.53735
2014/8/21,10:26:58,31.90399999,131.5387667
2014/8/21,10:27:26,31.90320002,131.54015
2014/8/21,10:27:55,31.90266668,131.5410834
2014/8/21,10:28:27,31.90163336,131.54295
2014/8/21,10:28:55,31.90084998,131.5443666
2014/8/21,10:29:28,31.90005002,131.54575
2014/8/21,10:29:56,31.89924996,131.5471333
2014/8/21,10:30:24,31.89868335,131.54805
2014/8/21,10:30:57,31.89759999,131.5498834
2014/8/21,10:31:25,31.89706665,131.5508334
2014/8/21,10:31:56,31.89605,131.5527334
2014/8/21,10:32:24,31.89549998,131.5536667
2014/8/21,10:32:57,31.8944333,131.55555
2014/8/21,10:33:25,31.89366669,131.5569666
2014/8/21,10:33:58,31.89284996,131.5583667
2014/8/21,10:34:26,31.89206667,131.5597667
2014/8/21,10:34:54,31.89153333,131.5607
2014/8/21,10:35:27,31.89046665,131.5625834
2014/8/21,10:35:55,31.88963332,131.5639667
2014/8/21,10:36:26,31.88881667,131.5653667
2014/8/21,10:36:55,31.88828333,131.5663
2014/8/21,10:37:27,31.88715002,131.56815
2014/8/21,10:37:55,31.88630001,131.5695167
2014/8/21,10:38:28,31.88543332,131.5708667
2014/8/21,10:38:56,31.88458331,131.5722167
2014/8/21,10:39:24,31.88401669,131.5731333
2014/8/21,10:39:57,31.88283334,131.5749333
2014/8/21,10:40:25,31.88196665,131.5763167
2014/8/21,10:40:57,31.88110004,131.5777
2014/8/21,10:41:25,31.88023335,131.5790833
2014/8/21,10:41:58,31.87936666,131.5804667
2014/8/21,10:42:26,31.87849998,131.5818667
2014/8/21,10:42:55,31.87791668,131.5828
2014/8/21,10:43:27,31.87678336,131.5846833
2014/8/21,10:43:55,31.87589999,131.5861
2014/8/21,10:44:28,31.87498335,131.5874666
2014/8/21,10:44:56,31.8740667,131.5888333
2014/8/21,10:45:25,31.87344996,131.58975
2014/8/21,10:45:57,31.87226669,131.5916334
2014/8/21,10:46:26,31.87143336,131.5930667
2014/8/21,10:46:54,31.87086666,131.5940333
2014/8/21,10:47:26,31.87086666,131.5940333
2014/8/21,10:47:55,31.86886665,131.5974167
2014/8/21,10:48:27,31.86799997,131.5988667
2014/8/21,10:48:55,31.86713336,131.6003167
2014/8/21,10:49:27,31.86713336,131.6003167
2014/8/21,10:49:56,31.8653833,131.6032166
2014/8/21,10:50:24,31.86480001,131.6041833
2014/8/21,10:50:57,31.86363333,131.6061667
2014/8/21,10:51:25,31.86278332,131.6076834
2014/8/21,10:51:57,31.86190004,131.6091833
2014/8/21,10:52:24,31.86190004,131.6091833
2014/8/21,10:52:56,31.86014998,131.6121834
2014/8/21,10:53:25,31.85921665,131.61365
2014/8/21,10:53:57,31.85831669,131.61515
2014/8/21,10:54:25,31.85771663,131.61615
2014/8/21,10:54:57,31.85653335,131.61815
2014/8/21,10:55:25,31.85596665,131.6191667
2014/8/21,10:55:57,31.85479998,131.6211667
2014/8/21,10:56:25,31.85391669,131.6226667
2014/8/21,10:56:58,31.85309996,131.6241167
2014/8/21,10:57:26,31.85226663,131.62555
2014/8/21,10:57:54,31.85171669,131.6265
2014/8/21,10:58:27,31.85065001,131.6283833
2014/8/21,10:58:55,31.84983336,131.6298
2014/8/21,10:59:27,31.84900003,131.6312
2014/8/21,10:59:55,31.84816671,131.6326334
2014/8/21,11:00:27,31.84734997,131.63405
2014/8/21,11:00:56,31.84653332,131.6354834
2014/8/21,11:01:24,31.84589999,131.63635
