,,lat.,lon.
2015/7/18,6:16:58,33.94819999,130.9341
2015/7/18,6:17:30,33.94819999,130.9341
2015/7/18,6:17:58,33.94819999,130.9341166
2015/7/18,6:18:31,33.94819999,130.9341
2015/7/18,6:18:59,33.94818331,130.9340834
2015/7/18,6:19:31,33.94818331,130.9341
2015/7/18,6:20:00,33.94819999,130.9341
2015/7/18,6:20:28,33.94821667,130.9341
2015/7/18,6:21:01,33.94821667,130.9341
2015/7/18,6:21:29,33.94819999,130.9340834
2015/7/18,6:21:58,33.94819999,130.9341
2015/7/18,6:22:30,33.94819999,130.9341
2015/7/18,6:22:59,33.94819999,130.9340834
2015/7/18,6:23:31,33.94819999,130.9341
2015/7/18,6:24:00,33.94819999,130.9340834
2015/7/18,6:24:28,33.94819999,130.9341
2015/7/18,6:25:01,33.94819999,130.9341
2015/7/18,6:25:29,33.94819999,130.9341166
2015/7/18,6:26:01,33.94819999,130.9341
2015/7/18,6:26:30,33.94819999,130.9340834
2015/7/18,6:26:58,33.94819999,130.9340834
2015/7/18,6:27:31,33.94819999,130.9340834
2015/7/18,6:27:59,33.94819999,130.9341
2015/7/18,6:28:28,33.94819999,130.9341
2015/7/18,6:29:00,33.94819999,130.9341
2015/7/18,6:29:29,33.94821667,130.9340834
2015/7/18,6:30:01,33.94819999,130.9340834
2015/7/18,6:30:30,33.94819999,130.9340834
2015/7/18,6:30:58,33.94819999,130.9340834
2015/7/18,6:31:31,33.94821667,130.9341
2015/7/18,6:31:59,33.94819999,130.9341
2015/7/18,6:32:32,33.94819999,130.9341
2015/7/18,6:33:00,33.94819999,130.9341
2015/7/18,6:33:29,33.94819999,130.9341
2015/7/18,6:34:01,33.94819999,130.9341
2015/7/18,6:34:30,33.94821667,130.9341
2015/7/18,6:34:58,33.94821667,130.9341
2015/7/18,6:35:31,33.94821667,130.9341
2015/7/18,6:35:59,33.94819999,130.9341
2015/7/18,6:36:32,33.94819999,130.9340834
2015/7/18,6:37:00,33.94819999,130.9340834
2015/7/18,6:37:28,33.94821667,130.9341
2015/7/18,6:38:01,33.94819999,130.9341
2015/7/18,6:38:29,33.94819999,130.9341
2015/7/18,6:38:58,33.94819999,130.9341
2015/7/18,6:39:30,33.94819999,130.9341166
2015/7/18,6:39:59,33.94819999,130.9341166
2015/7/18,6:40:31,33.94819999,130.9341166
2015/7/18,6:41:00,33.94819999,130.9341
2015/7/18,6:41:28,33.94819999,130.9341
2015/7/18,6:42:01,33.94819999,130.9341
2015/7/18,6:42:29,33.94821667,130.9341
2015/7/18,6:42:58,33.94819999,130.9341
2015/7/18,6:43:30,33.94819999,130.9341
2015/7/18,6:43:59,33.94819999,130.9341
2015/7/18,6:44:31,33.94821667,130.9341
2015/7/18,6:45:00,33.94821667,130.9341166
2015/7/18,6:45:28,33.94819999,130.9341166
2015/7/18,6:46:01,33.94821667,130.9341
2015/7/18,6:46:29,33.94821667,130.9341
2015/7/18,6:47:02,33.94821667,130.9341
2015/7/18,6:47:30,33.94821667,130.9341
2015/7/18,6:47:59,33.94821667,130.9341
2015/7/18,6:48:31,33.94821667,130.9340834
2015/7/18,6:49:00,33.94821667,130.9341
2015/7/18,6:49:28,33.94821667,130.9341166
2015/7/18,6:50:00,33.94823335,130.9341
2015/7/18,6:50:29,33.94823335,130.9341
2015/7/18,6:51:01,33.94821667,130.9341
2015/7/18,6:51:30,33.94821667,130.9341
2015/7/18,6:51:58,33.94821667,130.9341
2015/7/18,6:52:31,33.94823335,130.9341
2015/7/18,6:52:59,33.94821667,130.9341
2015/7/18,6:53:28,33.94821667,130.9341
2015/7/18,6:54:00,33.94825003,130.93405
2015/7/18,6:54:29,33.94831667,130.9339667
2015/7/18,6:55:01,33.94841666,130.9338333
2015/7/18,6:55:30,33.94853334,130.93365
2015/7/18,6:55:58,33.94861666,130.9334167
2015/7/18,6:56:31,33.94863334,130.9331334
2015/7/18,6:56:59,33.94843334,130.9327833
2015/7/18,6:57:28,33.948,130.9324833
2015/7/18,6:58:00,33.94740002,130.9322166
2015/7/18,6:58:29,33.94659997,130.9321834
2015/7/18,6:59:01,33.94563337,130.93245
2015/7/18,6:59:30,33.94449997,130.9329833
2015/7/18,6:59:58,33.94330001,130.9337834
2015/7/18,7:00:30,33.94199998,130.9347333
2015/7/18,7:00:58,33.94061663,130.9357333
2015/7/18,7:01:31,33.94061663,130.9357333
2015/7/18,7:01:59,33.93756662,130.9363
2015/7/18,7:02:28,33.93609996,130.93585
2015/7/18,7:03:00,33.93468333,130.9353334
2015/7/18,7:03:29,33.93325003,130.9348334
2015/7/18,7:04:01,33.93183332,130.9343333
2015/7/18,7:04:30,33.93038333,130.9338333
2015/7/18,7:04:58,33.92896671,130.9332666
2015/7/18,7:05:31,33.92756668,130.93265
2015/7/18,7:05:59,33.92616665,130.9320333
2015/7/18,7:06:28,33.9247667,130.9314333
2015/7/18,7:07:00,33.92336668,130.9308
2015/7/18,7:07:28,33.92196665,130.9301667
2015/7/18,7:08:01,33.9205833,130.9295167
2015/7/18,7:08:29,33.9205833,130.9295167
2015/7/18,7:09:02,33.91738334,130.9278834
2015/7/18,7:09:30,33.91646669,130.9274333
2015/7/18,7:09:58,33.91508334,130.9267833
2015/7/18,7:10:31,33.91369999,130.9260667
2015/7/18,7:10:59,33.91239996,130.92515
2015/7/18,7:11:28,33.91163335,130.9237167
2015/7/18,7:12:00,33.91163335,130.9237167
2015/7/18,7:12:28,33.91061663,130.9203167
2015/7/18,7:13:01,33.91015001,130.9185667
2015/7/18,7:13:29,33.90971666,130.9167834
2015/7/18,7:14:01,33.90923336,130.9150166
2015/7/18,7:14:30,33.90876666,130.91325
2015/7/18,7:14:58,33.90868334,130.9114334
2015/7/18,7:15:31,33.90888333,130.9096167
2015/7/18,7:15:59,33.9093,130.90785
2015/7/18,7:16:32,33.9097667,130.9060834
2015/7/18,7:17:00,33.91026668,130.90435
2015/7/18,7:17:28,33.91108333,130.9028334
2015/7/18,7:18:01,33.91203334,130.9014167
2015/7/18,7:18:29,33.91314997,130.9001667
2015/7/18,7:19:01,33.91429997,130.89895
