,,lat.,lon.
2015/8/17,8:13:51,35.65213337,139.7710833
2015/8/17,8:14:23,35.65208333,139.77105
2015/8/17,8:14:52,35.65211669,139.7710833
2015/8/17,8:15:24,35.65211669,139.7710667
2015/8/17,8:15:53,35.65214996,139.7710833
2015/8/17,8:16:21,35.65214996,139.7711
2015/8/17,8:16:54,35.65211669,139.7710833
2015/8/17,8:17:22,35.65211669,139.7710833
2015/8/17,8:17:55,35.65211669,139.7710667
2015/8/17,8:18:23,35.65213337,139.7710833
2015/8/17,8:18:52,35.65213337,139.7710833
2015/8/17,8:19:24,35.65210001,139.7710667
2015/8/17,8:19:53,35.65214996,139.7711
2015/8/17,8:20:21,35.65213337,139.7711
2015/8/17,8:20:54,35.65213337,139.7711167
2015/8/17,8:21:22,35.65210001,139.7711
2015/8/17,8:21:54,35.65210001,139.7711
2015/8/17,8:22:23,35.65216664,139.7711
2015/8/17,8:22:51,35.65211669,139.7710667
2015/8/17,8:23:24,35.65213337,139.7710667
2015/8/17,8:23:52,35.65214996,139.7710833
2015/8/17,8:24:25,35.65211669,139.7710833
2015/8/17,8:24:53,35.65208333,139.7710833
2015/8/17,8:25:22,35.65211669,139.7711167
2015/8/17,8:25:54,35.65210001,139.7711
2015/8/17,8:26:23,35.65213337,139.7711167
2015/8/17,8:26:51,35.65213337,139.7711167
2015/8/17,8:27:24,35.65213337,139.7711167
2015/8/17,8:27:52,35.65213337,139.7711
2015/8/17,8:28:25,35.65213337,139.7711
2015/8/17,8:28:53,35.65213337,139.7711
2015/8/17,8:29:21,35.65214996,139.7711
2015/8/17,8:29:54,35.65213337,139.7711167
2015/8/17,8:30:22,35.65214996,139.7711
2015/8/17,8:30:55,35.65216664,139.7711
2015/8/17,8:31:23,35.65206665,139.7711
2015/8/17,8:31:52,35.65213337,139.7710833
2015/8/17,8:32:24,35.65213337,139.7710833
2015/8/17,8:32:53,35.65214996,139.7711
2015/8/17,8:33:21,35.65216664,139.7711
2015/8/17,8:33:54,35.65216664,139.7711
2015/8/17,8:34:22,35.65216664,139.7710833
2015/8/17,8:34:55,35.65213337,139.7711
2015/8/17,8:35:23,35.65216664,139.7711
2015/8/17,8:35:52,35.65216664,139.7711
2015/8/17,8:36:24,35.65214996,139.7711
2015/8/17,8:36:53,35.65216664,139.7711
2015/8/17,8:37:21,35.65216664,139.7711
2015/8/17,8:37:54,35.65216664,139.7711
2015/8/17,8:38:22,35.65218332,139.7711
2015/8/17,8:38:54,35.65218332,139.7711
