2015/8/18- 6:30:49,2015/8/18,6:30:54,34.12614997,136.9516167
2015/8/18- 6:31:53,2015/8/18,6:31:54,34.12558336,136.9482667
2015/8/18- 6:32:51,2015/8/18,6:32:51,34.12495002,136.9448167
2015/8/18- 6:33:06,2015/8/18,6:32:51,34.12495002,136.9448167
2015/8/18- 6:33:42,2015/8/18,6:33:52,34.12438332,136.9413833
2015/8/18- 6:35:02,2015/8/18,6:34:52,34.12386666,136.9379333
2015/8/18- 6:35:22,2015/8/18,6:35:23,34.12356667,136.9362333
2015/8/18- 6:36:15,2015/8/18,6:36:23,34.12315001,136.93275
2015/8/18- 6:36:47,2015/8/18,6:36:52,34.12285002,136.931
2015/8/18- 6:37:01,2015/8/18,6:36:52,34.12285002,136.931
2015/8/18- 6:39:24,2015/8/18,6:39:24,34.12166666,136.92215
2015/8/18- 6:41:33,2015/8/18,6:41:21,34.12069998,136.9150833
2015/8/18- 6:41:59,2015/8/18,6:41:53,34.12039999,136.9133
2015/8/18- 7:03:59,2015/8/18,7:03:53,34.10931668,136.8355334
2015/8/18- 7:12:14,2015/8/18,7:12:24,34.10595001,136.8045667
2015/8/18- 7:12:39,2015/8/18,7:12:52,34.10579997,136.8027
2015/8/18- 7:13:40,2015/8/18,7:13:52,34.10535003,136.7990167
2015/8/18- 7:14:12,2015/8/18,7:14:24,34.10513336,136.7972
2015/8/18- 7:14:47,2015/8/18,7:14:52,34.10498332,136.7953834
2015/8/18- 7:15:16,2015/8/18,7:15:24,34.10474997,136.79355
2015/8/18- 7:16:03,2015/8/18,7:15:52,34.1045167,136.7916834
2015/8/18- 7:16:16,2015/8/18,7:16:21,34.10420003,136.7898167
2015/8/18- 7:17:00,2015/8/18,7:16:53,34.10396668,136.7879833
2015/8/18- 7:19:28,2015/8/18,7:19:22,34.10278332,136.7788333
2015/8/18- 7:22:50,2015/8/18,7:22:53,34.10115003,136.7659
2015/8/18- 7:23:00,2015/8/18,7:22:53,34.10115003,136.7659
2015/8/18- 7:28:06,2015/8/18,7:27:51,34.0992667,136.7468
2015/8/18- 7:31:24,2015/8/18,7:31:24,34.09788335,136.73405
2015/8/18- 7:36:24,2015/8/18,7:36:21,34.09515001,136.7161
2015/8/18- 7:37:55,2015/8/18,7:37:54,34.0947667,136.7126
2015/8/18- 7:38:53,2015/8/18,7:38:55,34.09423336,136.70705
2015/8/18- 7:40:10,2015/8/18,7:40:23,34.09358335,136.7015333
2015/8/18- 7:42:45,2015/8/18,7:42:52,34.09283333,136.6918333
2015/8/18- 7:43:02,2015/8/18,7:42:52,34.09283333,136.6918333
2015/8/18- 7:44:11,2015/8/18,7:44:22,34.09248331,136.6869334
2015/8/18- 7:46:32,2015/8/18,7:46:22,34.09201669,136.6796667
2015/8/18- 7:46:56,2015/8/18,7:46:54,34.09190001,136.67785
2015/8/18- 7:53:27,2015/8/18,7:53:23,34.0903833,136.6539667
2015/8/18- 8:10:36,2015/8/18,8:10:24,34.08736666,136.5921667
2015/8/18- 8:10:52,2015/8/18,8:10:52,34.08728334,136.59035
2015/8/18- 8:20:59,2015/8/18,8:20:54,34.08583336,136.5544167
2015/8/18- 8:24:55,2015/8/18,8:24:53,34.08508334,136.54025
2015/8/18- 8:28:23,2015/8/18,8:28:24,34.08433333,136.52785
2015/8/18- 8:39:17,2015/8/18,8:39:23,34.08074998,136.4920667
2015/8/18- 8:39:48,2015/8/18,8:39:51,34.08036668,136.48865
2015/8/18- 8:40:20,2015/8/18,8:40:24,34.08021664,136.4869334
2015/8/18- 8:40:48,2015/8/18,8:40:52,34.08005001,136.4852
2015/8/18- 8:43:03,2015/8/18,8:42:54,34.07946663,136.4783
2015/8/18- 8:44:26,2015/8/18,8:44:23,34.07903337,136.47315
2015/8/18- 8:49:53,2015/8/18,8:49:52,34.07735003,136.4539834
2015/8/18- 8:52:12,2015/8/18,8:52:23,34.07664998,136.44525
2015/8/18- 8:52:32,2015/8/18,8:52:23,34.07664998,136.44525
2015/8/18- 8:52:49,2015/8/18,8:52:51,34.0765167,136.4434833
2015/8/18- 8:53:02,2015/8/18,8:52:51,34.0765167,136.4434833
2015/8/18- 8:57:26,2015/8/18,8:57:23,34.07533335,136.4276834
2015/8/18- 8:59:29,2015/8/18,8:59:21,34.07463337,136.4206334
2015/8/18- 8:59:48,2015/8/18,8:59:54,34.0745167,136.4188834
2015/8/18- 9:03:33,2015/8/18,9:03:21,34.07373332,136.4064667
2015/8/18- 9:06:07,2015/8/18,9:05:52,34.07325002,136.3974834
2015/8/18- 9:06:22,2015/8/18,9:06:24,34.0731833,136.3956667
2015/8/18- 9:06:42,2015/8/18,9:06:53,34.07308331,136.3938667
2015/8/18- 9:07:35,2015/8/18,9:07:21,34.07293336,136.3920667
2015/8/18- 9:08:42,2015/8/18,9:08:55,34.07271668,136.3878833
2015/8/18- 9:08:59,2015/8/18,9:08:55,34.07271668,136.3878833
2015/8/18- 9:09:23,2015/8/18,9:09:23,34.07251669,136.3843167
2015/8/18- 9:15:09,2015/8/18,9:15:21,34.0711667,136.3635
2015/8/18- 9:17:28,2015/8/18,9:17:23,34.07046665,136.3562333
2015/8/18- 9:17:51,2015/8/18,9:17:51,34.07031669,136.3543834
2015/8/18- 9:18:08,2015/8/18,9:18:24,34.07010002,136.3525667
2015/8/18- 9:18:43,2015/8/18,9:18:52,34.0699333,136.35075
2015/8/18- 9:21:29,2015/8/18,9:21:23,34.06891666,136.34175
2015/8/18- 9:24:39,2015/8/18,9:24:54,34.06760003,136.3291333
2015/8/18- 9:24:55,2015/8/18,9:24:54,34.06760003,136.3291333
2015/8/18- 9:26:34,2015/8/18,9:26:23,34.06774999,136.3238333
2015/8/18- 9:43:18,2015/8/18,9:43:24,34.07509999,136.2696833
2015/8/19- 6:05:20,2015/8/19,6:05:23,33.19038332,134.6081334
2015/8/19- 6:07:00,2015/8/19,6:06:52,33.19024997,134.6068333
2015/8/19- 6:09:42,2015/8/19,6:09:54,33.18996666,134.6042666
2015/8/19- 6:11:07,2015/8/19,6:10:55,33.18988334,134.6032834
2015/8/19- 6:11:30,2015/8/19,6:11:23,33.18984998,134.603
2015/8/19- 6:23:58,2015/8/19,6:23:55,33.17908335,134.5839
2015/8/19- 6:25:25,2015/8/19,6:25:24,33.17563335,134.57975
2015/8/19- 6:25:54,2015/8/19,6:25:53,33.17470003,134.5788167
2015/8/19- 6:26:28,2015/8/19,6:26:25,33.17346663,134.5775333
2015/8/19- 6:26:45,2015/8/19,6:26:53,33.17286666,134.5768834
2015/8/19- 6:27:00,2015/8/19,6:26:53,33.17286666,134.5768834
2015/8/19- 6:28:31,2015/8/19,6:28:22,33.17028335,134.5737334
2015/8/19- 6:28:49,2015/8/19,6:28:55,33.16988337,134.5718666
2015/8/19- 6:29:34,2015/8/19,6:29:23,33.16985001,134.5709
2015/8/19- 6:32:17,2015/8/19,6:32:22,33.16893336,134.5622
2015/8/19- 6:34:32,2015/8/19,6:34:23,33.16816667,134.5565
2015/8/19- 6:35:53,2015/8/19,6:35:52,33.16758337,134.5521667
2015/8/19- 6:37:14,2015/8/19,6:37:25,33.16695004,134.5473333
2015/8/19- 6:37:47,2015/8/19,6:37:53,33.16683336,134.5463667
2015/8/19- 6:39:42,2015/8/19,6:39:54,33.16601663,134.54065
2015/8/19- 6:40:27,2015/8/19,6:40:22,33.16578336,134.5392
2015/8/19- 6:40:47,2015/8/19,6:40:54,33.16556669,134.53775
2015/8/19- 6:41:42,2015/8/19,6:41:51,33.16509998,134.5348667
2015/8/19- 6:42:24,2015/8/19,6:42:23,33.16488331,134.5334167
2015/8/19- 6:42:54,2015/8/19,6:42:52,33.16471668,134.5319667
2015/8/19- 6:43:28,2015/8/19,6:43:24,33.16451669,134.5305167
2015/8/19- 6:44:01,2015/8/19,6:43:52,33.16428334,134.5290833
2015/8/19- 6:44:19,2015/8/19,6:44:24,33.16406666,134.52765
2015/8/19- 6:46:58,2015/8/19,6:46:53,33.16309998,134.5205334
2015/8/19- 6:47:16,2015/8/19,6:47:22,33.16289999,134.5191166
2015/8/19- 6:47:53,2015/8/19,6:47:54,33.16268331,134.5176833
2015/8/19- 6:48:07,2015/8/19,6:47:54,33.16268331,134.5176833
2015/8/19- 6:48:19,2015/8/19,6:48:22,33.16253336,134.51625
2015/8/19- 6:48:50,2015/8/19,6:48:54,33.16234997,134.5148166
2015/8/19- 6:49:09,2015/8/19,6:49:22,33.16218333,134.5133667
2015/8/19- 6:49:40,2015/8/19,6:49:55,33.16200002,134.51195
2015/8/19- 6:50:07,2015/8/19,6:49:55,33.16200002,134.51195
2015/8/19- 6:50:18,2015/8/19,6:50:22,33.1618333,134.5105166
2015/8/19- 6:50:27,2015/8/19,6:50:22,33.1618333,134.5105166
2015/8/19- 6:50:47,2015/8/19,6:50:54,33.16166667,134.5090667
