,,lat.,lon.
2014/7/20,8:30:19,33.60615003,130.4000667
2014/7/20,8:30:52,33.60615003,130.4000667
2014/7/20,8:31:20,33.60616663,130.4000667
2014/7/20,8:31:52,33.60615003,130.4000667
2014/7/20,8:32:21,33.60616663,130.4000667
2014/7/20,8:32:49,33.60616663,130.4000667
2014/7/20,8:33:22,33.60616663,130.4000667
2014/7/20,8:33:50,33.60616663,130.4000667
2014/7/20,8:34:23,33.60616663,130.4000667
2014/7/20,8:34:52,33.60616663,130.4000667
2014/7/20,8:35:20,33.60616663,130.4000667
2014/7/20,8:35:53,33.60616663,130.4000667
2014/7/20,8:36:21,33.60616663,130.4000667
2014/7/20,8:36:49,33.60616663,130.4000667
2014/7/20,8:37:22,33.60616663,130.4000667
2014/7/20,8:37:50,33.60616663,130.4000667
2014/7/20,8:38:23,33.60616663,130.40005
2014/7/20,8:38:51,33.60616663,130.40005
2014/7/20,8:39:20,33.60616663,130.40005
2014/7/20,8:39:52,33.60616663,130.40005
2014/7/20,8:40:21,33.60616663,130.40005
2014/7/20,8:40:49,33.60618331,130.4000667
2014/7/20,8:41:22,33.60616663,130.4000834
2014/7/20,8:41:50,33.60616663,130.4000667
2014/7/20,8:42:23,33.60616663,130.4000667
2014/7/20,8:42:51,33.60616663,130.4000667
2014/7/20,8:43:20,33.60616663,130.4000667
2014/7/20,8:43:52,33.60618331,130.4000667
2014/7/20,8:44:21,33.60616663,130.4000667
2014/7/20,8:44:49,33.60616663,130.4000667
2014/7/20,8:45:22,33.60616663,130.4000667
2014/7/20,8:45:50,33.60618331,130.4000667
2014/7/20,8:46:23,33.60616663,130.4000667
2014/7/20,8:46:51,33.60616663,130.40005
2014/7/20,8:47:20,33.60616663,130.40005
2014/7/20,8:47:52,33.60616663,130.40005
2014/7/20,8:48:21,33.60616663,130.40005
2014/7/20,8:48:49,33.60618331,130.40005
2014/7/20,8:49:22,33.60618331,130.40005
2014/7/20,8:49:50,33.60618331,130.40005
2014/7/20,8:50:23,33.60616663,130.40005
2014/7/20,8:50:51,33.60616663,130.40005
2014/7/20,8:51:19,33.60616663,130.40005
2014/7/20,8:51:52,33.60616663,130.40005
2014/7/20,8:52:21,33.60616663,130.40005
2014/7/20,8:52:49,33.60615003,130.40005
2014/7/20,8:53:22,33.60616663,130.40005
2014/7/20,8:53:50,33.60615003,130.40005
2014/7/20,8:54:22,33.60616663,130.40005
2014/7/20,8:54:51,33.60616663,130.4000667
2014/7/20,8:55:19,33.60616663,130.4000667
2014/7/20,8:55:52,33.60616663,130.4000667
2014/7/20,8:56:20,33.60616663,130.4000667
2014/7/20,8:56:52,33.60615003,130.4000667
2014/7/20,8:57:21,33.60615003,130.4000667
2014/7/20,8:57:49,33.60615003,130.4000667
2014/7/20,8:58:21,33.60615003,130.4000667
2014/7/20,8:58:50,33.60616663,130.4000667
2014/7/20,8:59:22,33.60619999,130.4000834
2014/7/20,8:59:51,33.60621667,130.40005
2014/7/20,9:00:19,33.60619999,130.3999833
2014/7/20,9:00:52,33.60619999,130.3999833
2014/7/20,9:01:20,33.60616663,130.39975
2014/7/20,9:01:53,33.60615003,130.39965
2014/7/20,9:02:21,33.60615003,130.3994
2014/7/20,9:02:50,33.60623335,130.3989333
2014/7/20,9:03:22,33.60653333,130.3983834
2014/7/20,9:03:50,33.60698336,130.3977
2014/7/20,9:04:22,33.60754997,130.39685
2014/7/20,9:04:51,33.60823335,130.3958167
2014/7/20,9:05:19,33.60901664,130.3947
2014/7/20,9:05:51,33.60990001,130.3935834
2014/7/20,9:06:19,33.61095001,130.39245
2014/7/20,9:06:52,33.61203337,130.3912833
2014/7/20,9:07:20,33.61315001,130.3901167
2014/7/20,9:07:52,33.61426665,130.3889167
2014/7/20,9:08:20,33.61541664,130.3876834
2014/7/20,9:08:52,33.61656664,130.3864167
2014/7/20,9:09:21,33.61775,130.38515
2014/7/20,9:09:49,33.61873336,130.3836833
2014/7/20,9:10:22,33.61971664,130.3822
2014/7/20,9:10:50,33.62046666,130.38055
2014/7/20,9:11:22,33.62123335,130.3788667
2014/7/20,9:11:50,33.62195,130.3771167
2014/7/20,9:12:23,33.62263329,130.3753334
2014/7/20,9:12:51,33.62331667,130.3735167
2014/7/20,9:13:20,33.62401664,130.3717334
2014/7/20,9:13:51,33.62470002,130.36995
2014/7/20,9:14:20,33.62541667,130.36815
2014/7/20,9:14:52,33.62611664,130.36635
2014/7/20,9:15:20,33.6268333,130.3646
2014/7/20,9:15:53,33.6268333,130.3646
2014/7/20,9:16:20,33.62853331,130.3604666
2014/7/20,9:16:52,33.6290167,130.3592667
